Num,Raw
0,12.78
1,12.75
2,12.75
3,12.78
4,12.78
5,12.78
6,12.81
7,12.84
8,12.81
9,12.81
10,12.81
11,12.81
12,12.81
13,12.81
14,12.75
15,12.75
16,12.78
17,12.78
18,12.78
19,12.81
20,12.84
21,12.81
22,12.81
23,12.81
24,12.81
25,12.81
26,12.81
27,12.84
28,12.87
29,12.84
30,12.84
31,12.84
32,12.84
33,12.84
34,12.81
35,12.84
36,12.84
37,12.81
38,12.75
39,12.78
40,12.81
41,12.78
42,12.75
43,12.78
44,12.81
45,12.78
46,12.78
47,12.78
48,12.78
49,12.78
50,12.78
51,12.78
52,12.78
53,12.78
54,12.78
55,12.78
56,12.81
57,12.81
58,12.81
59,12.81
60,12.78
61,12.75
62,12.73
63,12.73
64,12.75
65,12.73
66,12.73
67,12.73
68,12.73
69,12.73
70,12.73
71,12.75
72,12.73
73,12.73
74,12.73
75,12.75
76,12.73
77,12.73
78,12.73
79,12.75
80,12.75
81,12.73
82,12.73
83,12.75
84,12.73
85,12.73
86,12.73
87,12.75
88,12.73
89,12.73
90,12.73
91,12.75
92,12.75
93,12.73
94,12.73
95,12.75
96,12.73
97,12.73
98,12.73
99,12.75
100,12.73
101,12.73
102,12.75
103,12.75
104,12.73
105,12.73
106,12.73
107,12.75
108,12.73
109,12.73
110,12.73
111,12.75
112,12.73
113,12.73
114,12.73
115,12.75
116,12.73
117,12.73
118,12.73
119,12.75
120,12.73
121,12.73
122,12.73
123,12.75
124,12.73
125,12.73
126,12.75
127,12.75
128,12.73
129,12.73
130,12.75
131,12.73
132,12.73
133,12.73
134,12.73
135,12.73
136,12.73
137,12.73
138,12.73
139,12.73
140,12.73
141,12.73
142,12.73
143,12.73
144,12.73
145,12.73
146,12.73
147,12.75
148,12.73
149,12.75
150,12.75
151,12.75
152,12.73
153,12.73
154,12.75
155,12.78
156,12.73
157,12.73
158,12.73
159,12.73
160,12.73
161,12.73
162,12.73
163,12.73
164,12.73
165,12.73
166,12.75
167,12.73
168,12.73
169,12.73
170,12.75
171,12.73
172,12.73
173,12.73
174,12.75
175,12.73
176,12.73
177,12.73
178,12.73
179,12.73
180,12.73
181,12.73
182,12.73
183,12.73
184,12.7
185,12.73
186,12.73
187,12.73
188,12.73
189,12.73
190,12.75
191,12.73
192,12.73
193,12.73
194,12.73
195,12.73
196,12.7
197,12.73
198,12.73
199,12.73
200,12.73
201,12.73
202,12.73
203,12.73
204,12.73
205,12.73
206,12.73
207,12.73
208,12.73
209,12.73
210,12.73
211,12.73
212,12.73
213,12.73
214,12.75
215,12.7
216,12.73
217,12.73
218,12.73
219,12.73
220,12.73
221,12.73
222,12.73
223,12.7
224,12.73
225,12.75
226,12.73
227,12.7
228,12.73
229,12.73
