Num,Rail 1,Rail 2
318,12.75,12.81
319,12.73,12.81
320,12.73,12.81
321,12.73,12.78
322,12.75,12.81
323,12.73,12.81
324,12.73,12.81
325,12.73,12.78
326,12.73,12.81
327,12.73,12.84
328,12.7,12.81
329,12.7,12.78
330,12.73,12.81
331,12.73,12.81
332,12.7,12.81
333,12.73,12.78
334,12.73,12.81
335,12.73,12.81
336,12.7,12.81
337,12.7,12.81
338,12.73,12.81
339,12.73,12.81
340,12.7,12.81
341,12.73,12.78
342,12.73,12.81
343,12.73,12.81
344,12.7,12.81
345,12.73,12.81
346,12.73,12.81
347,12.73,12.81
348,12.73,12.81
349,12.73,12.81
350,12.73,12.84
351,12.73,12.84
352,12.7,12.78
353,12.73,12.81
354,12.73,12.81
355,12.73,12.81
356,12.7,12.78
357,12.73,12.81
358,12.73,12.81
359,12.7,12.81
360,12.7,12.81
361,12.73,12.81
362,12.73,12.81
363,12.73,12.81
364,12.7,12.78
365,12.73,12.78
366,12.73,12.81
367,12.7,12.81
368,12.7,12.78
369,12.73,12.78
370,12.73,12.81
371,12.7,12.81
372,12.73,12.78
373,12.73,12.81
374,12.73,12.81
375,12.7,12.81
376,12.7,12.78
377,12.73,12.81
378,12.73,12.81
379,12.73,12.81
380,12.7,12.78
381,12.73,12.78
382,12.73,12.81
383,12.7,12.78
384,12.7,12.78
385,12.73,12.78
386,12.73,12.78
387,12.7,12.75
388,12.7,12.73
389,12.73,12.75
390,12.73,12.75
391,12.73,12.75
392,12.73,12.75
393,12.75,
394,12.75,
395,12.73,
396,12.73,
397,12.75,
398,12.75,
399,12.73,
400,12.73,
401,12.73,
402,12.73,
403,12.73,
404,12.73,
405,12.73,
406,12.73,
407,12.73,
408,12.73,
409,12.73,
410,12.73,
411,12.7,
412,12.73,
413,12.73,
414,12.73,
415,12.73,
416,12.73,
417,12.73,
418,12.73,
419,12.73,
420,12.73,
421,12.73,
422,12.73,
423,12.7,
424,12.73,
425,12.73,
426,12.73,
427,12.7,
428,12.73,
429,12.73,
430,12.73,
431,12.7,
432,12.73,
433,12.73,
434,12.73,
435,12.7,
436,12.73,
437,12.73,
438,12.73,
439,12.73,
440,12.73,
441,12.73,
442,12.7,
443,12.7,
444,12.73,
445,12.81,
446,12.81,
447,12.78,
448,12.84,
449,12.78,
450,12.81,
451,12.78,
452,12.87,
453,12.81,
454,12.75,
455,12.75,
456,12.75,
457,12.84,
458,12.75,
459,12.73,
460,12.75,
461,12.75,
462,12.87,
463,12.78,
464,12.78,
465,12.81,
466,12.81,
467,12.87,
468,12.81,
469,12.81,
470,12.81,
471,12.78,
472,12.87,
473,12.75,
474,12.78,
475,12.75,
476,12.75,
477,12.84,
478,12.75,
479,12.75,
480,12.75,
481,12.75,
482,12.78,
483,12.75,
484,12.75,
485,12.78,
486,12.78,
487,12.81,
488,12.75,
489,12.75,
490,12.75,
491,12.75,
492,12.81,
493,12.75,
494,12.75,
495,12.73,
496,12.75,
497,12.75,
498,12.75,
499,12.75,
500,12.75,
501,12.78,
502,12.75,
503,12.75,
504,12.75,
505,12.78,
506,12.75,
507,12.75,
508,12.78,
509,12.78,
510,12.75,
511,12.75,
512,12.78,
513,12.78,
514,12.75,
515,12.75,
